,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
91,0 days 01:31:15.072000,26.7,47.0,1008.2,False,31.2,247,1.1
92,0 days 01:32:15.083000,26.7,47.0,1008.3,False,31.2,40,0.7
94,0 days 01:34:15.112000,26.7,47.0,1008.2,False,31.1,16,2.0
96,0 days 01:36:15.108000,26.7,46.0,1008.2,False,31.1,45,2.4
97,0 days 01:37:15.113000,26.7,46.0,1008.1,False,31.1,37,2.1
99,0 days 01:39:15.151000,26.7,47.0,1008.1,False,30.8,6,2.0
100,0 days 01:40:15.130000,26.7,47.0,1008.1,False,30.9,38,2.3
102,0 days 01:42:15.161000,26.7,46.0,1008.2,False,31.1,14,2.7
104,0 days 01:44:15.181000,26.7,47.0,1008.3,False,31.2,57,1.1
105,0 days 01:45:15.201000,26.8,46.0,1008.3,False,31.3,61,1.4
107,0 days 01:47:15.197000,26.8,46.0,1008.3,False,31.0,60,1.0
109,0 days 01:49:15.187000,26.9,45.0,1008.3,False,30.9,14,1.8
111,0 days 01:51:15.202000,26.8,46.0,1008.3,False,30.8,62,1.9
114,0 days 01:54:15.201000,26.7,46.0,1008.4,False,30.6,52,2.9
116,0 days 01:56:15.228000,26.6,46.0,1008.4,False,30.8,50,2.0
118,0 days 01:58:15.255000,26.7,46.0,1008.2,False,30.9,62,1.7
119,0 days 01:59:15.254000,26.7,45.0,1008.3,False,30.7,22,2.4
121,0 days 02:01:15.257000,26.8,45.0,1008.4,False,30.7,2,1.8
123,0 days 02:03:15.261000,26.8,45.0,1008.4,False,30.5,34,2.5
124,0 days 02:04:15.256000,26.8,46.0,1008.4,False,30.6,37,1.9
126,0 days 02:06:15.263000,26.7,46.0,1008.4,False,30.6,22,1.6
127,0 days 02:07:15.277000,26.8,46.0,1008.4,False,30.6,31,1.7
129,0 days 02:09:15.300000,26.7,46.0,1008.4,False,30.6,18,2.3
131,0 days 02:11:15.316000,26.8,46.0,1008.4,False,30.5,35,2.0
132,0 days 02:12:15.323000,26.8,45.0,1008.4,False,30.6,42,2.3
134,0 days 02:14:15.309000,26.8,45.0,1008.4,False,30.5,33,1.8
136,0 days 02:16:15.345000,26.8,45.0,1008.4,False,30.7,49,1.7
137,0 days 02:17:15.349000,26.8,45.0,1008.4,False,30.4,53,1.8
139,0 days 02:19:15.335000,26.8,45.0,1008.4,False,30.5,58,1.5
140,0 days 02:20:15.352000,26.9,45.0,1008.4,False,30.4,24,1.5
142,0 days 02:22:15.332000,26.9,44.0,1008.4,False,30.4,8,1.8
144,0 days 02:24:15.352000,26.9,44.0,1008.4,False,30.2,353,1.8
145,0 days 02:25:15.358000,26.9,44.0,1008.4,False,30.4,8,1.5
147,0 days 02:27:15.352000,26.9,44.0,1008.4,False,30.3,54,1.6
148,0 days 02:28:15.340000,26.9,43.0,1008.4,False,30.3,44,1.2
150,0 days 02:30:15.357000,26.9,43.0,1008.4,False,30.4,44,1.4
56,0 days 00:56:14.914000,27.2,44.0,1008.0,False,31.9,37,3.6
58,0 days 00:58:14.913000,27.1,45.0,1008.0,False,31.9,30,2.7
59,0 days 00:59:14.935000,27.1,45.0,1008.0,False,31.8,19,2.8
61,0 days 01:01:14.946000,27.1,46.0,1008.1,False,31.9,23,2.2
62,0 days 01:02:14.964000,27.0,46.0,1008.0,False,31.6,344,2.1
64,0 days 01:04:14.958000,27.0,46.0,1008.0,False,31.9,17,1.2
66,0 days 01:06:14.952000,27.0,46.0,1008.1,False,32.0,26,2.4
67,0 days 01:07:14.969000,27.0,46.0,1008.1,False,32.0,34,2.6
69,0 days 01:09:14.952000,27.0,45.0,1008.0,False,32.0,38,2.6
71,0 days 01:11:14.958000,27.0,45.0,1008.1,False,31.8,16,1.9
72,0 days 01:12:14.980000,27.0,46.0,1008.0,False,31.7,14,2.5
74,0 days 01:14:14.998000,26.9,46.0,1008.0,False,31.5,21,1.9
76,0 days 01:16:14.964000,26.9,46.0,1008.1,False,31.9,36,1.2
78,0 days 01:18:14.972000,26.9,46.0,1008.1,False,31.7,16,1.8
79,0 days 01:19:14.992000,26.9,47.0,1008.1,False,31.7,14,2.0
81,0 days 01:21:14.976000,26.8,47.0,1008.0,False,31.4,16,2.7
83,0 days 01:23:15.026000,26.8,48.0,1008.1,False,31.1,38,2.6
84,0 days 01:24:15.061000,26.7,48.0,1008.1,False,31.2,25,2.2
86,0 days 01:26:15.055000,26.8,48.0,1008.1,False,31.1,28,2.1
87,0 days 01:27:15.050000,26.7,48.0,1008.1,False,31.1,26,2.3
89,0 days 01:29:15.064000,26.7,48.0,1008.1,False,31.0,26,2.2
91,0 days 01:31:15.072000,26.7,47.0,1008.2,False,31.2,247,1.1
92,0 days 01:32:15.083000,26.7,47.0,1008.3,False,31.2,40,0.7
94,0 days 01:34:15.112000,26.7,47.0,1008.2,False,31.1,16,2.0
96,0 days 01:36:15.108000,26.7,46.0,1008.2,False,31.1,45,2.4
97,0 days 01:37:15.113000,26.7,46.0,1008.1,False,31.1,37,2.1
99,0 days 01:39:15.151000,26.7,47.0,1008.1,False,30.8,6,2.0
101,0 days 01:41:15.160000,26.7,47.0,1008.1,False,31.0,358,1.2
102,0 days 01:42:15.161000,26.7,46.0,1008.2,False,31.1,14,2.7
104,0 days 01:44:15.181000,26.7,47.0,1008.3,False,31.2,57,1.1
105,0 days 01:45:15.201000,26.8,46.0,1008.3,False,31.3,61,1.4
107,0 days 01:47:15.197000,26.8,46.0,1008.3,False,31.0,60,1.0
109,0 days 01:49:15.187000,26.9,45.0,1008.3,False,30.9,14,1.8
112,0 days 01:52:15.203000,26.8,46.0,1008.3,False,30.8,34,1.6
114,0 days 01:54:15.201000,26.7,46.0,1008.4,False,30.6,52,2.9
116,0 days 01:56:15.228000,26.6,46.0,1008.4,False,30.8,50,2.0
118,0 days 01:58:15.255000,26.7,46.0,1008.2,False,30.9,62,1.7
120,0 days 02:00:15.241000,26.8,46.0,1008.3,False,30.8,44,1.3
121,0 days 02:01:15.257000,26.8,45.0,1008.4,False,30.7,2,1.8
123,0 days 02:03:15.261000,26.8,45.0,1008.4,False,30.5,34,2.5
124,0 days 02:04:15.256000,26.8,46.0,1008.4,False,30.6,37,1.9
126,0 days 02:06:15.263000,26.7,46.0,1008.4,False,30.6,22,1.6
128,0 days 02:08:15.277000,26.7,46.0,1008.4,False,30.6,17,1.8
129,0 days 02:09:15.300000,26.7,46.0,1008.4,False,30.6,18,2.3
131,0 days 02:11:15.316000,26.8,46.0,1008.4,False,30.5,35,2.0
132,0 days 02:12:15.323000,26.8,45.0,1008.4,False,30.6,42,2.3
134,0 days 02:14:15.309000,26.8,45.0,1008.4,False,30.5,33,1.8
136,0 days 02:16:15.345000,26.8,45.0,1008.4,False,30.7,49,1.7
137,0 days 02:17:15.349000,26.8,45.0,1008.4,False,30.4,53,1.8
139,0 days 02:19:15.335000,26.8,45.0,1008.4,False,30.5,58,1.5
140,0 days 02:20:15.352000,26.9,45.0,1008.4,False,30.4,24,1.5
142,0 days 02:22:15.332000,26.9,44.0,1008.4,False,30.4,8,1.8
144,0 days 02:24:15.352000,26.9,44.0,1008.4,False,30.2,353,1.8
145,0 days 02:25:15.358000,26.9,44.0,1008.4,False,30.4,8,1.5
147,0 days 02:27:15.352000,26.9,44.0,1008.4,False,30.3,54,1.6
148,0 days 02:28:15.340000,26.9,43.0,1008.4,False,30.3,44,1.2
150,0 days 02:30:15.357000,26.9,43.0,1008.4,False,30.4,44,1.4
56,0 days 00:56:14.914000,27.2,44.0,1008.0,False,31.9,37,3.6
58,0 days 00:58:14.913000,27.1,45.0,1008.0,False,31.9,30,2.7
59,0 days 00:59:14.935000,27.1,45.0,1008.0,False,31.8,19,2.8
61,0 days 01:01:14.946000,27.1,46.0,1008.1,False,31.9,23,2.2
62,0 days 01:02:14.964000,27.0,46.0,1008.0,False,31.6,344,2.1
64,0 days 01:04:14.958000,27.0,46.0,1008.0,False,31.9,17,1.2
66,0 days 01:06:14.952000,27.0,46.0,1008.1,False,32.0,26,2.4
67,0 days 01:07:14.969000,27.0,46.0,1008.1,False,32.0,34,2.6
69,0 days 01:09:14.952000,27.0,45.0,1008.0,False,32.0,38,2.6
71,0 days 01:11:14.958000,27.0,45.0,1008.1,False,31.8,16,1.9
72,0 days 01:12:14.980000,27.0,46.0,1008.0,False,31.7,14,2.5
74,0 days 01:14:14.998000,26.9,46.0,1008.0,False,31.5,21,1.9
76,0 days 01:16:14.964000,26.9,46.0,1008.1,False,31.9,36,1.2
77,0 days 01:17:14.978000,26.9,46.0,1008.0,False,31.9,39,1.1
79,0 days 01:19:14.992000,26.9,47.0,1008.1,False,31.7,14,2.0
81,0 days 01:21:14.976000,26.8,47.0,1008.0,False,31.4,16,2.7
82,0 days 01:22:15.013000,26.8,48.0,1008.0,False,31.2,23,2.6
84,0 days 01:24:15.061000,26.7,48.0,1008.1,False,31.2,25,2.2
86,0 days 01:26:15.055000,26.8,48.0,1008.1,False,31.1,28,2.1
87,0 days 01:27:15.050000,26.7,48.0,1008.1,False,31.1,26,2.3
89,0 days 01:29:15.064000,26.7,48.0,1008.1,False,31.0,26,2.2
91,0 days 01:31:15.072000,26.7,47.0,1008.2,False,31.2,247,1.1
92,0 days 01:32:15.083000,26.7,47.0,1008.3,False,31.2,40,0.7
94,0 days 01:34:15.112000,26.7,47.0,1008.2,False,31.1,16,2.0
96,0 days 01:36:15.108000,26.7,46.0,1008.2,False,31.1,45,2.4
97,0 days 01:37:15.113000,26.7,46.0,1008.1,False,31.1,37,2.1
99,0 days 01:39:15.151000,26.7,47.0,1008.1,False,30.8,6,2.0
100,0 days 01:40:15.130000,26.7,47.0,1008.1,False,30.9,38,2.3
102,0 days 01:42:15.161000,26.7,46.0,1008.2,False,31.1,14,2.7
104,0 days 01:44:15.181000,26.7,47.0,1008.3,False,31.2,57,1.1
105,0 days 01:45:15.201000,26.8,46.0,1008.3,False,31.3,61,1.4
107,0 days 01:47:15.197000,26.8,46.0,1008.3,False,31.0,60,1.0
109,0 days 01:49:15.187000,26.9,45.0,1008.3,False,30.9,14,1.8
112,0 days 01:52:15.203000,26.8,46.0,1008.3,False,30.8,34,1.6
114,0 days 01:54:15.201000,26.7,46.0,1008.4,False,30.6,52,2.9
116,0 days 01:56:15.228000,26.6,46.0,1008.4,False,30.8,50,2.0
118,0 days 01:58:15.255000,26.7,46.0,1008.2,False,30.9,62,1.7
119,0 days 01:59:15.254000,26.7,45.0,1008.3,False,30.7,22,2.4
121,0 days 02:01:15.257000,26.8,45.0,1008.4,False,30.7,2,1.8
123,0 days 02:03:15.261000,26.8,45.0,1008.4,False,30.5,34,2.5
124,0 days 02:04:15.256000,26.8,46.0,1008.4,False,30.6,37,1.9
126,0 days 02:06:15.263000,26.7,46.0,1008.4,False,30.6,22,1.6
127,0 days 02:07:15.277000,26.8,46.0,1008.4,False,30.6,31,1.7
129,0 days 02:09:15.300000,26.7,46.0,1008.4,False,30.6,18,2.3
131,0 days 02:11:15.316000,26.8,46.0,1008.4,False,30.5,35,2.0
132,0 days 02:12:15.323000,26.8,45.0,1008.4,False,30.6,42,2.3
134,0 days 02:14:15.309000,26.8,45.0,1008.4,False,30.5,33,1.8
136,0 days 02:16:15.345000,26.8,45.0,1008.4,False,30.7,49,1.7
